orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
1.34237E+14,3034933556,11185591312,1680761192,1,403582562,423318317,"Skin Suitability:acne prone

thank you dah repeat 2x so far bestt but mohalll ngat but ok ada improvement ok sori gamba xde kena mengena nak coins je",5,,,NEW Skintella Serum
1.26373E+14,3034933556,10505188429,1673160049,1,313251504,423318317,"saya dah repeat bnyak kali dah soap kayman ni.. dlu muka breakout teruk skrag alhamdulilah dgn amal soap kayman ni muka kembali pulih , jerawat pun tk naik dah.. terima kasih seller bagi free gift masker ni ..",5,,,Coalface Soap
1.08133E+14,3034933556,8597655035,1654594047,1,62544450,423318317,"Skin Suitability:its work well with my skin
Absorption:terbaikk sangat2 local produk yg terbaikkk

Before this i mmg byk biji kecik dekat dahi but after using this skintella and coalface soap, mmg hilang licin dan saya sangat puas hati dah 2 kali order. Mmg akan kekal dgn kayman forever 👍🏻👍🏻👍🏻👍🏻",5,its work well with my skin,terbaikk sangat2 local produk yg terbaikkk,Travel Serum 2.0
9.19902E+13,3034933556,6778608939,1638426382,1,89900600,423318317,packaging tebal! penghantaran pun cepat sangat. siap dapat free gift lagi. thank you seller!,5,,,Rosa Glow Essence
1.21795E+14,3034933556,10039769057,1668309887,1,486518215,423318317,"Ni first time nk try kayman , hopefully kena lah dgn kulit muka , thankyouuu seller siap bagi freegift lagi lurveee",5,,,HoneyGlo Exfoliant
1.2088E+14,3034933556,9949321236,1667283803,1,209953152,423318317,"Penghantaran sangat pantasss ,, semalam order hari ni dah sampai .. terbaikk seller .. .",5,,,Coalface Soap
9.65063E+13,3034933556,7329932529,1643271573,1,429484577,423318317,"Absorption:fast absorption
Skin Suitability:oily skin

I've been use this product for 2 days. So far, my skim feel ok . I have acne on my skin and surprisingly this soap doesnt iritate my skin. There is no fragrance in this product , so it suits acne prone skin.",5,,,Coalface Soap
9.7511E+13,3034933556,7404870099,1644057080,1,12256602,423318317,"Absorption:easy to absorb. good ❤️
Skin Suitability:oily

My first try. Hopefully suit with my skin.",5,,,Skintella Serum
9.17838E+13,3034933556,6759107790,1638252886,1,317575376,423318317,Barang diterima dalam keadaan baik. First time nak try. Harap sesuai la dgn muka yg tengah bejerawat ni😅 tq bagi freegift 😉,5,,,Skintella Moisturzer
1.33421E+14,3034933556,11154193246,1680461809,1,183840969,423318317,"Skin Suitability:Dont know, for me combination
Absorption:Oily and sticky moisturizer

Sorry no video, continue skin suitability..... now i try for 4days, pimples comes out.. i dont know its suitable or not.
Right now just keep using first and will see the result good or getting worse 🥴 Thanks for the gift 🤍",5,"Dont know, for me combination",Oily and sticky moisturizer,Petite CBC 30ml
9.44496E+13,3034933556,7092908559,1641020512,1,27777207,423318317,item safely arrived. 1st time buy. seller responses fast. hope suitable to my skin. will give feed back after use it. will repeat again if good to my skin next time. recommended seller.,5,,,Travel Serum
9.23222E+13,3034933556,6827615899,1638879936,1,19181310,423318317,original product ! bagus seller ni ! recommend sangat beli kat sini,5,,,Coalberry Cleanser
1.23164E+14,3034933556,10177237543,1669638465,1,48361838,423318317,"Skin Suitability:soft
Absorption:good

Nice packaging bottle cepat sampai, thank you seller bagi free gift cantik getah rambut ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ baru nak try product kayman, adik kata best so ni bru nak cuba hope sesuai dengan muka yang combination skin ni. Botol dia cantik sangat lahh 🫶🏻🫶🏻🫶🏻 thanks seller barang bungkus dgn rapi dan kemas balutan tak mudah pecah kalau baling parcel tu 🤪 ok i baru nak try ni",5,soft,good,Skintella Moisturzer
9.69084E+13,3034933556,7389409822,1643903614,1,138804479,423318317,"Skin Suitability:U ask me.. i tell u biasa2 shj
Absorption:Cepat resap..xmelekit..

Dh hampir 3 bulan pakai.. belum ada perubahan apa apa..serious.. tp still teruskan pakai sbb dia x memberi kesan buruk plus stock bnyk lg.. sedikit kecewa juga..tp kena sabar lah..",5,U ask me.. i tell u biasa2 shj,Cepat resap..xmelekit..,Coalface Soap
9.81086E+13,3034933556,7477509563,1644739686,1,559388528,423318317,"Terima kasih seller barang Smpai dgn pantas bungkusan sangant kemas dan rapi sabun di bungkus dengan kemas kemudian ad free gift 
Brg pon i nampak sangat berkualiti and i nak try ...kalau sesuai dengan kulit i makesure i repeat....♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥",5,,,Coalface Soap
1.29455E+14,3034933556,10759487789,1676115222,-1,26887224,423318317,New user…tak pasti berbaloi ke tak..1st time terus beli set RM300++…dpt free as-is bag tapi hancur xleh pakai…baik x payah bagi…buang je stok beg dah rosak tu..xyah acah2 nk bg free setakat wat sakit hati jeh…,1,,,Cleansing SHERBET
1.26952E+14,3034933556,10541293928,1673524665,1,37544652,423318317,"Skin Suitability:oily skin

Fast delivery! Dapat gift mask & getah rambut tq❤ first time nak try pakai kayman. In love dengan packaging dia.. cantikk.. siap boleh tulis nama dengan date bukak kat belakang. hope it works on my skin",5,,,Cleanser + Serum
1.22281E+14,3034933556,10108655613,1668929821,1,314958697,423318317,"Skin Suitability:good
Absorption:good

Seller ok je ngam pos. kurier jela tah pape dia campak kot brg aku sampai kemek kotak tu bengong. 

Nasib baik mask tu gift jee n helok lg 2 barang aku tu. k tq bye",5,good,good,Soap + Serum
9.75051E+13,3034933556,7406270714,1644065594,1,80945807,423318317,thank youuu. have been using kayman toner and moisturizer all this time. they are all good so now nak try these two gems pulakk plus the timing is just right sebab kayman upgrade the serum to be 3 times effective hehe. so far so good!! thank you jugak untuk cute free gift 🥰,5,,,Skintella 2.0 15ml☘️
9.94181E+13,3034933556,7911570781,1648660714,1,40951113,423318317,"Skin Suitability:my skin loves it
Absorption:the best

Thank you seller.. packaging kemas, barang sampai dgn selamat. Kebetulan beli time dpt diskaun 10% so beli banyak teruss.. definitely gonna repeat. P/s sorry video tak lepas sbb high resolution. Terpaksa pakai video lain.",5,my skin loves it,the best,Skintella Moisturzer
1.18142E+14,3034933556,9751300717,1665130165,1,125164859,423318317,"Skin Suitability:Yes
Absorption:Yes

So far baru guna seminggu.. Muka saya berminyak so far pakai rasa bersih.. Tidak ketat di muka.. I mean saya dah banyak cuba produk soo I know how it feel.. Sbb depends on kulit masing2... Sorry gambar tiada kaitan but diorg ada letak free gift ikat rambut sesuai ikat dekat baby... Hahahah... Soo yaaa... Packing dia pun ok",5,Yes,Yes,Petite CBC 30ml
1.23165E+14,3034933556,10195539238,1669821813,1,402795120,423318317,"Penghantaran cepat, bungkusan baik, service terbaik, harga products juga berbaloi.",5,,,QUICK & EASY KIT
